Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-30.5626574,136.8942395,"Roxby Downs Hospital, 16-28, Burgoyne Street, Roxby Downs, Municipal Council of Roxby Downs, South Australia, 5725, Australia","Item 131, Item 134A","Near 'Roxby Downs Hospital' (hospital); straight-line 228.72 km, est. route 297.34 km from nearest pharmacy | Very remote -- 'Roxby Downs Hospital' (hospital) is 228.72 km from nearest pharmacy (threshold 90 km)",90%,228.72,United Chemists Westside,Roxby Downs Hospital,hospital,SA,2026-02-14T16:51:50.378640,VERIFIED,No pharmacies found in OSM within search radius,3671,3671,3671,Roxby Downs,3671,0.29,4955.9,0,0,0,0,0,0.0,,839631.1
-26.1515307,131.1467555,"Nganampa Health Council Amata Clinic, Ngari Place, Amata, Anangu Pitjantjatjara Yankunytjatjara, South Australia, 0872, Australia","Item 131, Item 134A","Near 'Nganampa Health Council Amata Clinic' (gp); straight-line 381.63 km, est. route 496.12 km from nearest pharmacy | Very remote -- 'Nganampa Health Council Amata Clinic' (gp) is 381.63 km from nearest pharmacy (threshold 90 km)",90%,381.63,Territory Pharmacy Alice Springs,Nganampa Health Council Amata Clinic,gp,SA,2026-02-14T16:51:50.377641,VERIFIED,No pharmacies found in OSM within search radius,393,393,393,Amata,393,0.04,530.6,0,0,0,0,0,0.0,,149980.6
-30.591751379999998,138.39877278,"Leigh Creek Foodland, Black Oak Drive, Leigh Creek, Pastoral Unincorporated Area, South Australia, 5731, Australia","Item 131, Item 133, Item 134A","Near 'Leigh Creek Foodland' (supermarket); straight-line 218.93 km, est. route 284.61 km from nearest pharmacy | Near 'Leigh Creek Foodland' (supermarket); straight-line 218.93 km, est. route 284.61 km from nearest pharmacy | Near 'Leigh Creek Hospital' (hospital); straight-line 218.95 km, est. route 284.63 km from nearest pharmacy | Near 'Leigh Creek Health Service' (hospital); straight-line 218.96 km, est. route 284.65 km from nearest pharmacy | Supermarket 'Leigh Creek Foodland' (1,500 sqm) with no adjacent pharmacy (nearest 218.93 km) | Supermarket 'Leigh Creek Foodland' (1,500 sqm) with no adjacent pharmacy (nearest 218.93 km) | Very remote -- 'Leigh Creek Foodland' (supermarket) is 218.93 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Leigh Creek Foodland' (supermarket) is 218.93 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Leigh Creek Hospital' (hospital) is 218.95 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Leigh Creek Health Service' (hospital) is 218.96 km from nearest pharmacy (threshold 90 km)",90%,218.93,United Chemists Westside,Leigh Creek Foodland,supermarket,SA,2026-02-14T16:51:50.374641,VERIFIED,No pharmacies found in OSM within search radius,174,174,174,Unknown,0,-1,234.9,0,0,0,0,0,0.0,,38093.8
-32.3456828,138.0423612,,"Item 131, Item 133","Near 'IGA Quorn' (supermarket); straight-line 29.67 km, est. route 38.57 km from nearest pharmacy | Supermarket 'IGA Quorn' (1,200 sqm) with no adjacent pharmacy (nearest 29.67 km)",70%,29.67,United Chemist Port Augusta,IGA Quorn,supermarket,SA,2026-02-14T16:51:50.469572,VERIFIED,No pharmacies found in OSM within search radius,1150,1150,1150,Quorn,1150,0.14,1207.5,0,0,0,0,0,0.0,,34120.5
-32.3510421,138.0385777,,Item 131,"Near 'Quorn District and Memorial Hospital' (hospital); straight-line 29.05 km, est. route 37.76 km from nearest pharmacy",70%,29.05,United Chemist Port Augusta,Quorn District and Memorial Hospital,hospital,SA,2026-02-14T16:51:50.472570,VERIFIED,No pharmacies found in OSM within search radius,1150,1150,1150,Quorn,1150,0.56,1207.5,0,0,0,0,0,0.0,,33407.5
-34.6221532,135.4663195,,"Item 131, Item 133","Near 'IGA Coffin Bay' (supermarket); straight-line 37.74 km, est. route 49.06 km from nearest pharmacy | Supermarket 'IGA Coffin Bay' (1,200 sqm) with no adjacent pharmacy (nearest 37.74 km)",70%,37.74,TerryWhite Chemmart Port Lincoln,IGA Coffin Bay,supermarket,SA,2026-02-14T16:51:50.468571,VERIFIED,No pharmacies found in OSM within search radius,667,803,803,Coffin Bay,667,0.31,843.1,0,0,0,0,0,0.0,,30305.2
-29.6495801,138.0621288,"Marree Health Service, 45, First Street, Marree, Pastoral Unincorporated Area, South Australia, 5733, Australia","Item 131, Item 134A","Near 'Marree Health Service' (gp); straight-line 316.44 km, est. route 411.37 km from nearest pharmacy | Very remote -- 'Marree Health Service' (gp) is 316.44 km from nearest pharmacy (threshold 90 km)",90%,316.44,United Chemists Westside,Marree Health Service,gp,SA,2026-02-14T16:51:50.376641,VERIFIED,No pharmacies found in OSM within search radius,66,66,66,Unknown,0,-1,89.1,0,0,0,0,0,0.0,,20885.0
-31.8872166,138.4227367,"Hawker General Store, Wilpena Road, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia","Item 131, Item 133, Item 134A","Near 'Hawker General Store' (supermarket); straight-line 90.54 km, est. route 117.70 km from nearest pharmacy | Supermarket 'Hawker General Store' (1,500 sqm) with no adjacent pharmacy (nearest 90.54 km) | Very remote -- 'Hawker General Store' (supermarket) is 90.54 km from nearest pharmacy (threshold 90 km)",90%,90.54,United Chemist Port Augusta,Hawker General Store,supermarket,SA,2026-02-14T16:51:50.373641,VERIFIED,No pharmacies found in OSM within search radius,226,226,226,Unknown,0,-1,305.1,0,0,0,0,0,0.0,,20462.0
-31.8934242,138.42780705,"Hawker Hospital, Cradock Road, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia","Item 131, Item 134A","Near 'Hawker Hospital' (hospital); straight-line 90.35 km, est. route 117.46 km from nearest pharmacy | Near 'Hawker Memorial Hospital' (hospital); straight-line 90.34 km, est. route 117.45 km from nearest pharmacy | Very remote -- 'Hawker Hospital' (hospital) is 90.35 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Hawker Memorial Hospital' (hospital) is 90.34 km from nearest pharmacy (threshold 90 km)",90%,90.35,United Chemist Port Augusta,Hawker Hospital,hospital,SA,2026-02-14T16:51:50.381641,VERIFIED,No pharmacies found in OSM within search radius,226,226,226,Unknown,0,-1,305.1,0,0,0,0,0,0.0,,20419.1
-27.5451927,135.4458198,"Oodnadatta Hospital, Oribee Avenue, Oodnadatta, Pastoral Unincorporated Area, South Australia, 5734, Australia","Item 131, Item 134A","Near 'Oodnadatta Hospital' (hospital); straight-line 176.66 km, est. route 229.65 km from nearest pharmacy | Very remote -- 'Oodnadatta Hospital' (hospital) is 176.66 km from nearest pharmacy (threshold 90 km)",90%,176.66,Coober Pedy Pharmacy,Oodnadatta Hospital,hospital,SA,2026-02-14T16:51:50.379641,VERIFIED,No pharmacies found in OSM within search radius,102,102,102,Unknown,0,-1,137.7,0,0,0,0,0,0.0,,18019.3
